State,FIPS2,Year,Percent Obese (BMI >= 30),Percent Overweight (BMI 25.0 - 29.9),Neither overweight nor obese (BMI <= 24.9)
West Virginia,54,1997,20.6,36.5,42.9
Wisconsin,55,1997,16.6,38.8,44.6
Wyoming,56,1997,15,34.3,50.7
Alabama,01,1998,21.3,38.3,40.4
Alaska,02,1998,21.4,36.9,41.7
Arizona,04,1998,13.1,36.4,50.5
Arkansas,05,1998,19.8,35.1,45.1
California,06,1998,17.3,36.3,46.4
Colorado,08,1998,14.4,34.9,50.7
Connecticut,09,1998,15.5,34.3,50.2
Delaware,10,1998,17.2,36,46.8
Florida,12,1998,18,35.5,46.5
Georgia,13,1998,19.2,35.4,45.4
Idaho,16,1998,16.4,36.7,46.9
Illinois,17,1998,18.5,36.6,44.9
Indiana,18,1998,19.9,36.3,43.8
Iowa,19,1998,19.8,36.9,43.3
Kansas,20,1998,17.7,37.1,45.2
Kentucky,21,1998,20.4,37.7,41.9
Louisiana,22,1998,21.8,34.6,43.6
Maine,23,1998,17.4,37,45.6
Maryland,24,1998,20.5,35,44.5
Massachusetts,25,1998,14.3,35.6,50.1
Michigan,26,1998,21.2,36.3,42.5
Minnesota,27,1998,16.2,43.3,40.5
Mississippi,28,1998,22.8,36.5,40.7
Missouri,29,1998,20.5,36.6,42.9
Montana,30,1998,15,36.4,48.6
Nebraska,31,1998,18.3,35.7,46
Nevada,32,1998,14,36.2,49.8
New Hampshire,33,1998,15.6,36.3,48.1
New Jersey,34,1998,15.5,38.9,45.6
New Mexico,35,1998,15.2,36.5,48.3
New York,36,1998,16.3,35,48.7
North Carolina,37,1998,19.4,36.6,44
North Dakota,38,1998,19.2,37.9,42.9
Ohio,39,1998,20,35.1,44.9
Oklahoma,40,1998,19.5,33.5,47
Oregon,41,1998,18.3,36.4,45.3
Pennsylvania,42,1998,19.4,39.2,41.4
Rhode Island,44,1998,16.8,35.5,47.7
South Carolina,45,1998,20.6,34.4,45
South Dakota,46,1998,15.8,35.7,48.5
Tennessee,47,1998,19.2,35.2,45.6
Texas,48,1998,20.2,37.1,42.7
Utah,49,1998,15.9,33.4,50.7
Vermont,50,1998,14.8,33.1,52.1
Virginia,51,1998,18.7,34.4,46.9
Washington,53,1998,18.1,36.4,45.5
West Virginia,54,1998,23.9,33.3,42.8
Wisconsin,55,1998,18.3,38.1,43.6
Wyoming,56,1998,15.1,36.4,48.5
Alabama,01,1999,22.4,36.8,40.8
Alaska,02,1999,20.4,38.4,41.2
Arizona,04,1999,12.3,40.7,47
Arkansas,05,1999,22.7,39.3,38
California,06,1999,18.7,36.2,45.1
Colorado,08,1999,14.9,36.1,49
Connecticut,09,1999,15.1,33,51.9
Delaware,10,1999,17.5,37.4,45.1
Florida,12,1999,18.6,32.4,49
Georgia,13,1999,21.1,38.2,40.7
Idaho,16,1999,20,34.4,45.6
Illinois,17,1999,20.9,35.3,43.8
Indiana,18,1999,19.9,36,44.1
Iowa,19,1999,21.5,36.9,41.6
Kansas,20,1999,18.9,36.9,44.2
Kentucky,21,1999,21.7,37.2,41.1
Louisiana,22,1999,22.3,36.9,40.8
Maine,23,1999,19.4,36,44.6
Maryland,24,1999,18.2,35.4,46.4
Massachusetts,25,1999,14.7,37.2,48.1
Michigan,26,1999,22.8,35.6,41.6
Minnesota,27,1999,15.5,36.8,47.7
Mississippi,28,1999,23.2,40.4,36.4
Missouri,29,1999,21.7,39.1,39.2
Montana,30,1999,15.8,36,48.2
Nebraska,31,1999,21,36.8,42.2
Nevada,32,1999,15.8,36.8,47.4
New Hampshire,33,1999,14.6,37.8,47.6
New Jersey,34,1999,17,35.5,47.5
New Mexico,35,1999,17.7,37.5,44.8
New York,36,1999,17.4,37.6,45
North Carolina,37,1999,21.5,36.5,42
North Dakota,38,1999,21.9,36.4,41.7
Ohio,39,1999,20.3,38.2,41.5
Oklahoma,40,1999,21.1,36.7,42.2
Oregon,41,1999,19.9,36.8,43.3
Pennsylvania,42,1999,20.3,34.6,45.1
Rhode Island,44,1999,16.8,37.2,46
South Carolina,45,1999,20.6,37.4,42
South Dakota,46,1999,19.6,37.6,42.8
Tennessee,47,1999,20.5,39.7,39.8
Texas,48,1999,21.6,36.1,42.3
Utah,49,1999,16.7,36.7,46.6
Vermont,50,1999,18,34.2,47.8
Virginia,51,1999,19.3,34.4,46.3
Washington,53,1999,18.2,39.4,42.4
West Virginia,54,1999,24.6,36.2,39.2
Wisconsin,55,1999,19.9,37.4,42.7
Wyoming,56,1999,16.9,35.7,47.4
Alabama,01,2000,23.9,36.8,39.3
Alaska,02,2000,21,38.2,40.8
Arizona,04,2000,19.2,36.8,44
Arkansas,05,2000,23.3,36.6,40.1
California,06,2000,19.9,37.4,42.7
Colorado,08,2000,14.2,33.8,52
Connecticut,09,2000,17.4,36.3,46.3
Delaware,10,2000,16.6,39.2,44.2
Florida,12,2000,18.7,35.2,46.1
Georgia,13,2000,21.5,37.9,40.6
Idaho,16,2000,18.9,36.8,44.3
Illinois,17,2000,21.7,37.2,41.1
Indiana,18,2000,21.8,36.5,41.7
Iowa,19,2000,21.5,38.5,40
Kansas,20,2000,20.8,37.9,41.3
Kentucky,21,2000,23,38,39
Louisiana,22,2000,23.6,36.5,39.9
