State,FIPS2,Year,Percent Obese (BMI >= 30),Percent Overweight (BMI 25.0 - 29.9),Neither overweight nor obese (BMI <= 24.9)
Tennessee,47,2007,30.7,36.7,32.6
Texas,48,2007,28.6,37.2,34.2
Utah,49,2007,22.4,35.6,42
Vermont,50,2007,21.9,36.9,41.2
Virginia,51,2007,25.3,36.6,38.1
Washington,53,2007,25.9,36.2,37.9
West Virginia,54,2007,30.3,37.7,32
Wisconsin,55,2007,25.3,37,37.7
Wyoming,56,2007,24.5,37.7,37.8
Alabama,01,2008,32.2,35.7,32.1
Alaska,02,2008,27.1,38.4,34.5
Arizona,04,2008,25.6,35.7,38.7
Arkansas,05,2008,29.5,36.2,34.3
California,06,2008,24.3,37.1,38.6
Colorado,08,2008,19.1,36.2,44.7
Connecticut,09,2008,21.4,38.3,40.3
Delaware,10,2008,27.8,36,36.2
Florida,12,2008,25.2,35,39.8
Georgia,13,2008,27.8,36.9,35.3
Idaho,16,2008,25.2,37,37.8
Illinois,17,2008,26.9,36.4,36.7
Indiana,18,2008,27,36.6,36.4
Iowa,19,2008,26.7,37.6,35.7
Kansas,20,2008,28.1,37.6,34.3
Kentucky,21,2008,30.3,36.5,33.2
Louisiana,22,2008,29,34.8,36.2
Maine,23,2008,25.9,36,38.1
Maryland,24,2008,26.7,36.7,36.6
Massachusetts,25,2008,21.5,36.6,41.9
Michigan,26,2008,29.5,35.2,35.3
Minnesota,27,2008,25.2,37.6,37.2
Mississippi,28,2008,33.4,34.1,32.5
Missouri,29,2008,29.1,36.4,34.5
Montana,30,2008,24.3,37.4,38.3
Nebraska,31,2008,27.2,36.9,35.9
Nevada,32,2008,25.6,37,37.4
New Hampshire,33,2008,24.9,38.2,36.9
New Jersey,34,2008,23.6,38.5,37.9
New Mexico,35,2008,25.7,34.2,40.1
New York,36,2008,25.1,35.2,39.7
North Carolina,37,2008,29.5,36.2,34.3
North Dakota,38,2008,27.8,39.6,32.6
Ohio,39,2008,29.3,34.1,36.6
Oklahoma,40,2008,31,35.6,33.4
Oregon,41,2008,25,36.7,38.3
Pennsylvania,42,2008,28.4,36,35.6
Rhode Island,44,2008,22.1,37.9,40
South Carolina,45,2008,30.7,35.2,34.1
South Dakota,46,2008,28.1,36.8,35.1
Tennessee,47,2008,31.2,36.8,32
Texas,48,2008,28.9,37.3,33.8
Utah,49,2008,23.1,35.1,41.8
Vermont,50,2008,23.3,35.2,41.5
Virginia,51,2008,25.8,35.8,38.4
Washington,53,2008,26,35.8,38.2
West Virginia,54,2008,31.9,36.9,31.2
Wisconsin,55,2008,26.1,37.5,36.4
Wyoming,56,2008,25.2,36.9,37.9
Alabama,01,2009,31.6,36.6,31.8
Alaska,02,2009,25.4,37.9,36.7
Arizona,04,2009,25.9,38.3,35.8
Arkansas,05,2009,31.5,35.1,33.4
California,06,2009,25.5,35.8,38.7
Colorado,08,2009,19,36.7,44.3
Connecticut,09,2009,21,38,41
Delaware,10,2009,27.6,36.1,36.3
Florida,12,2009,26.5,36.9,36.6
Georgia,13,2009,27.7,37.6,34.7
Idaho,16,2009,25.1,36.2,38.7
Illinois,17,2009,27.4,37.1,35.5
Indiana,18,2009,30,35.2,34.8
Iowa,19,2009,28.5,38.7,32.8
Kansas,20,2009,28.8,35.8,35.4
Kentucky,21,2009,32.4,34.7,32.9
Louisiana,22,2009,33.9,33.7,32.4
Maine,23,2009,26.4,37.8,35.8
Maryland,24,2009,26.8,36.1,37.1
Massachusetts,25,2009,21.8,35.7,42.5
Michigan,26,2009,30.3,35.3,34.4
Minnesota,27,2009,25.4,37.9,36.7
Mississippi,28,2009,35.4,34.9,29.7
Missouri,29,2009,30.6,35,34.4
Montana,30,2009,23.7,38.4,37.9
Nebraska,31,2009,28.1,36.8,35.1
Nevada,32,2009,26.4,36.6,37
New Hampshire,33,2009,26.3,36.5,37.2
New Jersey,34,2009,23.9,38,38.1
New Mexico,35,2009,25.6,36.2,38.2
New York,36,2009,24.6,35.6,39.8
North Carolina,37,2009,30.1,35.3,34.6
North Dakota,38,2009,28.4,37.8,33.8
Ohio,39,2009,29.8,37,33.2
Oklahoma,40,2009,32,35.4,32.6
Oregon,41,2009,23.6,37,39.4
Pennsylvania,42,2009,28.1,36,35.9
Rhode Island,44,2009,24.9,36.7,38.4
South Carolina,45,2009,30.1,35.8,34.1
South Dakota,46,2009,30.3,36.9,32.8
Tennessee,47,2009,32.9,36.1,31
Texas,48,2009,29.5,37.3,33.2
Utah,49,2009,24,34,42
Vermont,50,2009,23.4,34.8,41.8
Virginia,51,2009,25.5,35.1,39.4
Washington,53,2009,26.9,35.5,37.6
West Virginia,54,2009,31.7,35.8,32.5
Wisconsin,55,2009,29.2,36.4,34.4
Wyoming,56,2009,25.4,36.8,37.8
Alabama,01,2010,33,37,30.1
Alaska,02,2010,25.2,40.7,34.1
Arizona,04,2010,24.7,40.7,34.6
Arkansas,05,2010,30.9,36.3,32.9
California,06,2010,24.7,36.9,38.4
Colorado,08,2010,21.4,36.2,42.4
Connecticut,09,2010,23,37.5,39.4
Delaware,10,2010,28.7,35.3,36
Florida,12,2010,27.2,37.8,35
Georgia,13,2010,30.4,35.3,34.2
Idaho,16,2010,26.9,36,37.1
Illinois,17,2010,28.7,34.5,36.8
Indiana,18,2010,30.2,36.2,33.5
Iowa,19,2010,29.1,37.1,33.8
Kansas,20,2010,30.1,34.4,35.5
Kentucky,21,2010,31.8,35.7,32.5
Louisiana,22,2010,31.7,34.7,33.5
Maine,23,2010,27.4,36.3,36.3
Maryland,24,2010,27.9,38.2,34
Massachusetts,25,2010,23.6,36.5,39.9
Michigan,26,2010,31.7,35.1,33.2
Minnesota,27,2010,25.4,37.7,36.9
Mississippi,28,2010,34.5,34.3,31.2
Missouri,29,2010,31.4,34.4,34.2
Montana,30,2010,23.5,37.8,38.7
Nebraska,31,2010,27.5,37.4,35.1
Nevada,32,2010,23.1,37.1,39.8
New Hampshire,33,2010,25.5,37.6,36.9
New Jersey,34,2010,24.8,36.8,38.5
New Mexico,35,2010,25.6,35.1,39.3
New York,36,2010,24.5,36.9,38.5
North Carolina,37,2010,28.6,36.7,34.7
North Dakota,38,2010,27.9,36.8,35.2
Ohio,39,2010,29.7,36,34.3
Oklahoma,40,2010,31.3,36,32.8
Oregon,41,2010,27.6,33.3,39.1
Pennsylvania,42,2010,29.2,36.6,34.3
Rhode Island,44,2010,26,37.5,36.5
South Carolina,45,2010,32,35.4,32.6
South Dakota,46,2010,27.7,38,34.3
Tennessee,47,2010,31.7,36.1,32.2
Texas,48,2010,31.7,34.8,33.4
Utah,49,2010,23,34.7,42.3
Vermont,50,2010,23.9,34.6,41.6
Virginia,51,2010,26.4,34.8,38.7
Washington,53,2010,26.2,35.6,38.2
West Virginia,54,2010,32.9,35,32.1
Wisconsin,55,2010,26.9,36.7,36.4
Wyoming,56,2010,25.7,38.1,36.2
